G1 X: 0, Y: 0, Z: 15.0, E: 3
G1 X: 216, Y: 157.904, Z: 0.25, E: 1.03256
G1 X: 217, Y: 157.904, Z: 0.25, E: 1.03287
G1 X: 217, Y: 198.096, Z: 0.25, E: 1.04547
G1 X: 218, Y: 198.096, Z: 0.25, E: 1.04579
G1 X: 218, Y: 157.904, Z: 0.25, E: 1.05839
G1 X: 218.096, Y: 157.904, Z: 0.25, E: 1.05842

G1 X: 216.89, Y: 159.107, Z: 0.25, E: -5.44158
G1 X: 139, Y: 158.3, Z: 0.5, E: 1.05842
G1 X: 139, Y: 197.7, Z: 0.5, E: 2.29364
G1 X: 138.3, Y: 197.7, Z: 0.5, E: 2.31559
G1 X: 138.3, Y: 158.3, Z: 0.5, E: 3.55082
G1 X: 140, Y: 158.3, Z: 0.5, E: 3.60411
G1 X: 140, Y: 197.7, Z: 0.5, E: 4.83934
G1 X: 141, Y: 197.7, Z: 0.5, E: 4.87069
G1 X: 141, Y: 158.3, Z: 0.5, E: 6.10592
G1 X: 142, Y: 158.3, Z: 0.5, E: 6.13727
G1 X: 142, Y: 197.7, Z: 0.5, E: 7.37249
G1 X: 143, Y: 197.7, Z: 0.5, E: 7.40385
G1 X: 143, Y: 158.3, Z: 0.5, E: 8.63907
G1 X: 144, Y: 158.3, Z: 0.5, E: 8.67042
G1 X: 144, Y: 197.7, Z: 0.5, E: 9.90565
G1 X: 145, Y: 197.7, Z: 0.5, E: 9.937
G1 X: 145, Y: 158.3, Z: 0.5, E: 11.17223
G1 X: 146, Y: 158.3, Z: 0.5, E: 11.20358
G1 X: 146, Y: 197.7, Z: 0.5, E: 12.4388
G1 X: 147, Y: 197.7, Z: 0.5, E: 12.47015
G1 X: 147, Y: 158.3, Z: 0.5, E: 13.70538
G1 X: 148, Y: 158.3, Z: 0.5, E: 13.73673
G1 X: 148, Y: 197.7, Z: 0.5, E: 14.97196
G1 X: 149, Y: 197.7, Z: 0.5, E: 15.00331
G1 X: 149, Y: 158.3, Z: 0.5, E: 16.23854
G1 X: 150, Y: 158.3, Z: 0.5, E: 16.26989
G1 X: 150, Y: 197.7, Z: 0.5, E: 17.50511
G1 X: 151, Y: 197.7, Z: 0.5, E: 17.53646
G1 X: 151, Y: 158.3, Z: 0.5, E: 18.77169
G1 X: 152, Y: 158.3, Z: 0.5, E: 18.80304
G1 X: 152, Y: 197.7, Z: 0.5, E: 20.03827
G1 X: 153, Y: 197.7, Z: 0.5, E: 20.06962
G1 X: 153, Y: 158.3, Z: 0.5, E: 21.30485
G1 X: 154, Y: 158.3, Z: 0.5, E: 21.3362
G1 X: 154, Y: 197.7, Z: 0.5, E: 22.57142
G1 X: 155, Y: 197.7, Z: 0.5, E: 22.60277
G1 X: 155, Y: 158.3, Z: 0.5, E: 23.838
G1 X: 156, Y: 158.3, Z: 0.5, E: 23.86935
G1 X: 156, Y: 197.7, Z: 0.5, E: 25.10458
G1 X: 157, Y: 197.7, Z: 0.5, E: 25.13593
G1 X: 157, Y: 158.3, Z: 0.5, E: 26.37116
G1 X: 158, Y: 158.3, Z: 0.5, E: 26.40251
G1 X: 158, Y: 197.7, Z: 0.5, E: 27.63773
G1 X: 159, Y: 197.7, Z: 0.5, E: 27.66908
G1 X: 159, Y: 158.3, Z: 0.5, E: 28.90431
G1 X: 160, Y: 158.3, Z: 0.5, E: 28.93566
G1 X: 160, Y: 197.7, Z: 0.5, E: 30.17089
G1 X: 161, Y: 197.7, Z: 0.5, E: 30.20224
G1 X: 161, Y: 158.3, Z: 0.5, E: 31.43747
G1 X: 162, Y: 158.3, Z: 0.5, E: 31.46882
G1 X: 162, Y: 197.7, Z: 0.5, E: 32.70404
G1 X: 163, Y: 197.7, Z: 0.5, E: 32.73539
G1 X: 163, Y: 158.3, Z: 0.5, E: 33.97062
G1 X: 164, Y: 158.3, Z: 0.5, E: 34.00197
G1 X: 164, Y: 197.7, Z: 0.5, E: 35.2372
G1 X: 165, Y: 197.7, Z: 0.5, E: 35.26855
G1 X: 165, Y: 158.3, Z: 0.5, E: 36.50378
G1 X: 166, Y: 158.3, Z: 0.5, E: 36.53513
G1 X: 166, Y: 197.7, Z: 0.5, E: 37.77035
G1 X: 167, Y: 197.7, Z: 0.5, E: 37.8017
G1 X: 167, Y: 158.3, Z: 0.5, E: 39.03693
G1 X: 168, Y: 158.3, Z: 0.5, E: 39.06828
G1 X: 168, Y: 197.7, Z: 0.5, E: 40.30351
G1 X: 169, Y: 197.7, Z: 0.5, E: 40.33486
G1 X: 169, Y: 158.3, Z: 0.5, E: 41.57009
G1 X: 170, Y: 158.3, Z: 0.5, E: 41.60144
G1 X: 170, Y: 197.7, Z: 0.5, E: 42.83666
G1 X: 171, Y: 197.7, Z: 0.5, E: 42.86801
G1 X: 171, Y: 158.3, Z: 0.5, E: 44.10324
G1 X: 172, Y: 158.3, Z: 0.5, E: 44.13459
G1 X: 172, Y: 197.7, Z: 0.5, E: 45.36982
G1 X: 173, Y: 197.7, Z: 0.5, E: 45.40117
G1 X: 173, Y: 158.3, Z: 0.5, E: 46.6364
G1 X: 174, Y: 158.3, Z: 0.5, E: 46.66775
G1 X: 174, Y: 197.7, Z: 0.5, E: 47.90297
G1 X: 175, Y: 197.7, Z: 0.5, E: 47.93432
G1 X: 175, Y: 158.3, Z: 0.5, E: 49.16955
G1 X: 176, Y: 158.3, Z: 0.5, E: 49.2009
G1 X: 176, Y: 197.7, Z: 0.5, E: 50.43613
G1 X: 177, Y: 197.7, Z: 0.5, E: 50.46748
G1 X: 177, Y: 158.3, Z: 0.5, E: 51.70271
G1 X: 178, Y: 158.3, Z: 0.5, E: 51.73406
G1 X: 178, Y: 197.7, Z: 0.5, E: 52.96928
G1 X: 179, Y: 197.7, Z: 0.5, E: 53.00063
G1 X: 179, Y: 158.3, Z: 0.5, E: 54.23586
G1 X: 180, Y: 158.3, Z: 0.5, E: 54.26721
G1 X: 180, Y: 197.7, Z: 0.5, E: 55.50244
G1 X: 181, Y: 197.7, Z: 0.5, E: 55.53379
G1 X: 181, Y: 158.3, Z: 0.5, E: 56.76902
G1 X: 182, Y: 158.3, Z: 0.5, E: 56.80037
G1 X: 182, Y: 197.7, Z: 0.5, E: 58.03559
G1 X: 183, Y: 197.7, Z: 0.5, E: 58.06694
G1 X: 183, Y: 158.3, Z: 0.5, E: 59.30217
G1 X: 184, Y: 158.3, Z: 0.5, E: 59.33352
G1 X: 184, Y: 197.7, Z: 0.5, E: 60.56875
G1 X: 185, Y: 197.7, Z: 0.5, E: 60.6001
G1 X: 185, Y: 158.3, Z: 0.5, E: 61.83533
G1 X: 186, Y: 158.3, Z: 0.5, E: 61.86668
G1 X: 186, Y: 197.7, Z: 0.5, E: 63.1019
G1 X: 187, Y: 197.7, Z: 0.5, E: 63.13325
G1 X: 187, Y: 158.3, Z: 0.5, E: 64.36848
G1 X: 188, Y: 158.3, Z: 0.5, E: 64.39983
G1 X: 188, Y: 197.7, Z: 0.5, E: 65.63506
G1 X: 189, Y: 197.7, Z: 0.5, E: 65.66641
G1 X: 189, Y: 158.3, Z: 0.5, E: 66.90164
G1 X: 190, Y: 158.3, Z: 0.5, E: 66.93299
G1 X: 190, Y: 197.7, Z: 0.5, E: 68.16821
G1 X: 191, Y: 197.7, Z: 0.5, E: 68.19956
G1 X: 191, Y: 158.3, Z: 0.5, E: 69.43479
G1 X: 192, Y: 158.3, Z: 0.5, E: 69.46614
G1 X: 192, Y: 197.7, Z: 0.5, E: 70.70137
G1 X: 193, Y: 197.7, Z: 0.5, E: 70.73272
G1 X: 193, Y: 158.3, Z: 0.5, E: 71.96795
G1 X: 194, Y: 158.3, Z: 0.5, E: 71.9993
G1 X: 194, Y: 197.7, Z: 0.5, E: 73.23452
G1 X: 195, Y: 197.7, Z: 0.5, E: 73.26587
G1 X: 195, Y: 158.3, Z: 0.5, E: 74.5011
G1 X: 196, Y: 158.3, Z: 0.5, E: 74.53245
G1 X: 196, Y: 197.7, Z: 0.5, E: 75.76768
G1 X: 197, Y: 197.7, Z: 0.5, E: 75.79903
G1 X: 197, Y: 158.3, Z: 0.5, E: 77.03426
G1 X: 198, Y: 158.3, Z: 0.5, E: 77.06561
G1 X: 198, Y: 197.7, Z: 0.5, E: 78.30083
G1 X: 199, Y: 197.7, Z: 0.5, E: 78.33218
G1 X: 199, Y: 158.3, Z: 0.5, E: 79.56741
G1 X: 200, Y: 158.3, Z: 0.5, E: 79.59876
G1 X: 200, Y: 197.7, Z: 0.5, E: 80.83399
G1 X: 201, Y: 197.7, Z: 0.5, E: 80.86534
G1 X: 201, Y: 158.3, Z: 0.5, E: 82.10057
G1 X: 202, Y: 158.3, Z: 0.5, E: 82.13192
G1 X: 202, Y: 197.7, Z: 0.5, E: 83.36714
G1 X: 203, Y: 197.7, Z: 0.5, E: 83.39849
G1 X: 203, Y: 158.3, Z: 0.5, E: 84.63372
G1 X: 204, Y: 158.3, Z: 0.5, E: 84.66507
G1 X: 204, Y: 197.7, Z: 0.5, E: 85.9003
G1 X: 205, Y: 197.7, Z: 0.5, E: 85.93165
G1 X: 205, Y: 158.3, Z: 0.5, E: 87.16687
G1 X: 206, Y: 158.3, Z: 0.5, E: 87.19823
G1 X: 206, Y: 197.7, Z: 0.5, E: 88.43345
G1 X: 207, Y: 197.7, Z: 0.5, E: 88.4648
G1 X: 207, Y: 158.3, Z: 0.5, E: 89.70003
G1 X: 208, Y: 158.3, Z: 0.5, E: 89.73138
